"! #1 Host Australia, Inc.",2482
"! #1 Host Canada, Inc.",2598
"! #1 Host China, Inc.",2648
"! #1 Host Germany, Inc.",2659
"! #1 Host Israel, Inc.",8963
"! #1 Host Japan, Inc.",2653
"! #1 Host Korea, Inc.",2537
"!# No1 Registrar, LLC",2923
"#1 Internet Services International, Inc. dba 1ISI",770
"$$$ Private Label Internet Service Kiosk, Inc. .dba PLISK.com",913
"007Names, Inc.",7783
"0101 INTERNET, INC.",2837
1 API GmbH,431751
"1 Domain Source, Ltd. dba Domain 1 Source, Inc.",131
1&1 Internet SE,3902239
"101DOMAIN, INC.",31144
"10dencehispahard, S.L",92579
123-Reg Limited,865152
"123domainrenewals, LLC",174
"1800-website, LLC",190
"1st-for-domain-names, LLC",186
2030138 Ontario Inc. dba NamesBeyond.com and dba GoodLuckDomain.com,11618
"22net, Inc.",577709
"24x7domains, LLC",170
"35 TECHNOLOGY CO., LTD",351793
"995discountdomains, LLC",183
AB Name ISP,21835
AB RIKTAD,453
Above.com Pty Ltd.,57040
"Abraham Lincoln, LLC",181
Abu-Ghazaleh Intellectual Property dba Tagidomains.com,719
AccentDomains LLC,25880
"Acens Technologies, S.L.U.",155429
"Achilles 888, LLC",181
AcquiredNames LLC,16358
"Active Registrar, Inc.",35712
"Ad Valorem Domains, LLC",2094
"Address Creation, LLC",1596
"Addressontheweb, LLC",194
Adomainofyourown.com LLC,2956
"Advanced Internet Technologies, Inc.",45740
Aerotek Bilisim Sanayi ve Ticaret AS,31496
AFRIREGISTER S.A.,799
"Afterdark Domains, Incorporated",578
Agrinoon Inc,674
"Aim High!, Inc. dba Get Yer Name",579
"Akamai Technologies, Inc.",1
Alantron Bilisim LTD STI.,15284
"Alethia Domains, LLC",2069
"Alexander the Great, LLC",474
"Alfena, LLC",2630
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),309
"Alices Registry, Inc.",1151
All Domains LLC,1582
"Allaccessdomains, LLC",184
Alldomains LLC,185
Allearthdomains.com LLC,2889
"AllGlobalNames, S.A. dba Cyberegistro.com",1341
Allworldnames.com LLC,2889
Alpine Domains Inc.,80169
Alpnames Limited,7142
"Amazon Registrar, Inc.",110993
Anessia Inc.,1633
"Annam, LLC",177
Annulet LLC,304580
"Anytime Sites, Inc.",77
"Apollo 888, LLC",173
APRIL SEA INFORMATION TECHNOLOGY CORPORATION,65795
"Aquarius Domains, LLC",2119
"Arab Internet Names, Incorporated",591
"Arctic Names, Inc.",8327
"Ares 888, LLC",200
"Aristotle 888, LLC",174
"Arsys Internet, S.L. d/b/a NICLINE.COM",356620
"Arthur Pendragon, LLC",168
"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",1220746
"AsiaDomains, Incorporated",573
"AsiaRegister, Inc.",1075
Astutium Limited,2472
Atak Domain Hosting Internet ve Bilgi Teknolojileri Limited Sirketi d/b/a Atak Teknoloji,16078
"Atlantic Domains, LLC",2927
AtlanticFriendNames.com LLC,2954
Atomicdomainnames.com LLC,2979
"Attila the Hun, LLC",277
"Austriadomains, LLC",170
"Austriandomains, LLC",174
Authentic Web Inc.,630
Automattic Inc.,69097
AvidDomain LLC,14378
"azdomainz, LLC",24857
"Azprivatez, LLC",23770
"Backslap Domains, Inc",5645
Backstop Names LLC,1537
"Baracuda Domains, LLC",2197
Baronofdomains.com LLC,2793
BatDomains.com Ltd.,94
BB Online Ltd,6797
BDL Systemes SAS dba ProDomaines,3933
Beartrapdomains.com LLC,3003
Beijing Brandma International Networking Technology Ltd.,3
"Beijing Guoxu Network Technology Co., Ltd.",1297
Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,427808
"Beijing Lanhai Jiye Technology Co.,Ltd",3575
Beijing Midwest Taian Technology Services Ltd.,10
"Beijing Sanfront Information Technology Co., Ltd",7968
Beijing Tong Guan Xin Tian Technology Ltd (Novaltel),1445
"Beijing Wangzun Technology Co., Ltd",5009
Beijing ZhongWan Network Technology Co Ltd,2264
"Beijing Zihai Technology Co., Ltd.",1929
Belmontdomains.com LLC,2880
"Benjamin Franklin 888, LLC",161
Best Drop Names LLC,1559
Betterthanaveragedomains.com LLC,2931
"Bidfordomainnames, LLC",193
"Big Dipper Domains, LLC",2112
"Big Domain Shop, Inc",100
Big House Services Inc.,610
Biglizarddomains.com LLC,2999
BigRock Solutions Limited,289513
"Billy the Kid, LLC",165
Binero AB,42717
"Bizcn.com, Inc.",645769
Blacknight Internet Solutions Ltd,47385
BlastDomains LLC,16570
"Blisternet, Incorporated",610
BlockHost LLC,16095
Blue Angel Domains LLC,1536
"Blue Fractal, Inc.",91
"Blue Razor Domains, LLC",36637
Bombora Technologies Pty Ltd.,1
"Bonam Fortunam Domains, LLC",2216
"Bonzai Domains, LLC",2143
BoteroSolutions.com S.A.,3
"Bottle Domains, Inc.",3292
Bounce Pass Domains LLC,1524
BR domain Inc. dba namegear.co,579
Brandma.co Limited,144
BrandNames.com SARL,450
"Brandon Gray Internet Services, Inc. dba NameJuice.com",42733
BraveNames Inc.,1587
Brennercom Limited,91
"Buddha, LLC",200
BullRunDomains.com LLC,2668
BurnsideDomains.com LLC,2938
"Camelot 1, LLC",2
"Camelot 10, LLC",2
"Camelot 13, LLC",2
"Camelot 14, LLC",1
"Camelot 16, LLC",2
"Camelot 18, LLC",4
"Camelot 19, LLC",2
"Camelot 2, LLC",1
"Camelot 20, LLC",2
"Camelot 21, LLC",2
"Camelot 22, LLC",4
"Camelot 23, LLC",2
"Camelot 25, LLC",2
"Camelot 26, LLC",2
"Camelot 27, LLC",1
"Camelot 28, LLC",1
"Camelot 29, LLC",2
"Camelot 3, LLC",1
"Camelot 30, LLC",3
"Camelot 31, LLC",4
"Camelot 32, LLC",1
"Camelot 33, LLC",1
"Camelot 34, LLC",1
"Camelot 35, LLC",2
"Camelot 37, LLC",1
"Camelot 38, LLC",2
"Camelot 39, LLC",3
"Camelot 4, LLC",4
"Camelot 40, LLC",2
"Camelot 42 888, LLC",1
"Camelot 43, LLC",1
"Camelot 44, LLC",1
"Camelot 45, LLC",4
"Camelot 46, LLC",1
"Camelot 47, LLC",5
